invoice_id,company_reg_number,invoice_date,invoice_amount,end_date,disputed,electronic,payment_delay,month
1786,20000000,2021-05-10,137.0,2021-07-12,1,True,63,2021-05
49628,20000000,2021-07-10,135.0,2021-10-28,0,True,110,2021-07
6264,20000000,2021-03-22,114.0,2021-05-16,0,True,55,2021-03
9726,20000000,2021-03-08,123.0,2021-05-07,0,True,60,2021-03
79566,20000000,2021-09-28,126.0,2021-10-01,1,False,3,2021-09
19025,20000000,2021-09-09,146.0,2021-12-16,0,True,98,2021-09
18322,20000000,2021-10-19,86.0,2021-12-26,0,True,68,2021-10
10417,20000000,2021-05-18,123.0,2021-06-12,1,False,25,2021-05
59947,20000000,2021-09-09,127.0,2021-11-10,0,True,62,2021-09
13262,20000000,2021-05-21,106.0,2021-07-27,0,False,67,2021-05
72582,20000000,2021-03-08,81.0,2021-05-16,0,False,69,2021-03
11034,20000000,2021-03-18,145.0,2021-04-13,1,True,26,2021-03
33580,20000000,2021-01-10,109.0,2021-04-11,0,False,91,2021-01
63352,20000000,2021-02-28,143.0,2021-05-03,0,False,64,2021-02
30851,20000000,2021-09-08,118.0,2021-12-26,0,True,109,2021-09
33155,20000000,2021-08-18,113.0,2021-10-12,1,True,55,2021-08
58816,20000000,2021-03-19,145.0,2021-04-21,0,True,33,2021-03
70665,20000000,2021-09-18,106.0,2021-12-11,0,True,84,2021-09
31564,20000000,2021-03-16,123.0,2021-04-28,1,False,43,2021-03
14821,20000000,2021-11-25,133.0,2021-12-18,0,False,23,2021-11
11574,20000000,2021-08-09,121.0,2021-11-17,0,True,100,2021-08
78486,20000000,2021-03-10,101.0,2021-05-15,0,True,66,2021-03
18018,20000000,2021-07-16,131.0,2021-09-08,0,True,54,2021-07
40493,20000000,2021-03-25,130.0,2021-05-28,0,True,64,2021-03
47847,20000000,2021-05-28,93.0,2021-07-18,0,True,51,2021-05
26887,20000000,2021-09-26,138.0,2021-11-08,0,True,43,2021-09
25999,20000000,2021-05-14,133.0,2021-08-13,0,False,91,2021-05
39308,20000000,2021-01-09,134.0,2021-03-09,1,True,59,2021-01
25681,20000000,2021-09-28,95.0,2021-11-26,1,True,59,2021-09
48952,20000000,2021-03-14,116.0,2021-05-24,0,True,71,2021-03
13996,20000000,2021-03-19,126.0,2021-05-15,0,True,57,2021-03
6530,20000000,2021-01-19,121.0,2021-04-26,0,True,97,2021-01
74560,20000000,2021-03-06,116.0,2021-05-02,0,True,57,2021-03
45639,20000000,2021-04-17,162.0,2021-07-24,0,True,98,2021-04
45292,20000000,2021-01-06,125.0,2021-04-21,0,True,105,2021-01
69333,20000000,2021-09-28,133.0,2021-12-14,0,True,77,2021-09
14983,20000000,2021-05-23,111.0,2021-07-13,0,True,51,2021-05
4934,20000000,2021-09-25,129.0,2021-11-27,0,True,63,2021-09
19809,20000000,2021-01-08,101.0,2021-03-21,1,False,72,2021-01
28604,20000000,2021-05-08,151.0,2021-07-26,0,True,79,2021-05
76735,20000000,2021-04-08,123.0,2021-06-15,0,True,68,2021-04
66597,20000000,2021-07-21,108.0,2021-09-21,0,True,62,2021-07
74436,20000000,2021-03-07,131.0,2021-04-09,0,False,33,2021-03
68100,20000000,2021-09-06,92.0,2021-12-06,0,False,91,2021-09
59790,20000000,2021-03-14,156.0,2021-06-12,0,True,90,2021-03
23074,20000000,2021-09-14,110.0,2021-11-28,0,True,75,2021-09
41327,20000000,2021-08-15,130.0,2021-11-12,0,True,89,2021-08
42161,20000000,2021-09-17,119.0,2021-10-14,0,True,27,2021-09
57614,20000000,2021-06-18,90.0,2021-08-26,0,True,69,2021-06
74777,20000000,2021-04-23,161.0,2021-05-27,0,True,34,2021-04
