company_reg_number,capex,cogs,cogs_plus_capex,accounts_receivable,current_assets,current_liabilities,fixed_assets,long_term_liabilities,capital_and_reserves,provisions_for_liabilities,entity_status,dissolved_on,turnover_level,employee_size_level
20000000,158.79,5691.53,5850.32,13328.0,94341.0,71429.0,4094.0,13504.0,13502.0,12857.0,1,2020-06-20,0,1
20000001,215.5,6471.54,6687.04,9506.0,52241.0,25061.0,4728.0,7981.0,23927.0,4009.0,1,2020-06-26,0,0
20000002,100.89,3385.61,3486.5,6123.0,40721.0,31488.0,106244.0,68448.0,47029.0,5038.0,1,2018-12-10,0,0
20000003,253.34,3885.55,4138.89,2929.0,65519.0,46121.0,10131.0,7590.0,21938.0,7840.0,1,2020-08-14,0,0
20000004,129.17,4731.59,4860.76,16083.0,84212.0,40289.0,8186.0,13302.0,38807.0,7252.0,1,2021-08-02,0,0
20000005,100.95,2968.99,3069.94,5711.0,40037.0,33098.0,12326.0,9633.0,9631.0,5626.0,1,2014-04-14,0,0
20000006,0.01,59682.72,59682.73,6838.0,44358.0,37460.0,15660.0,11280.0,11278.0,8615.0,1,2014-09-12,0,0
20000007,142.5,4142.38,4284.88,15259.0,89947.0,114341.0,11139.0,-6626.0,-6628.0,16007.0,1,2021-03-08,0,0
20000008,205.97,3135.06,3341.03,7296.0,56371.0,43137.0,7583.0,1631.0,19186.0,9490.0,1,2021-06-20,0,0
20000010,0.02,86224.71,86224.73,8470.0,50393.0,37571.0,16869.0,4131.0,25560.0,9017.0,1,2019-09-18,0,0
20000011,148.04,4626.14,4774.18,5403.0,37507.0,30824.0,1841.0,4263.0,4261.0,6781.0,1,2020-09-27,0,0
20000012,146.91,4398.46,4545.37,9880.0,53867.0,49861.0,15545.0,9776.0,9774.0,11468.0,1,2012-03-09,0,0
20000013,239.38,5261.07,5500.45,13527.0,88788.0,55855.0,26803.0,18123.0,41613.0,12288.0,1,2019-03-07,0,0
20000014,90.47,3401.2,3491.67,5775.0,27004.0,21667.0,8766.0,510.0,13593.0,3683.0,1,2021-07-31,0,0
20000015,78.18,6625.67,6703.85,51289.0,261985.0,170875.0,23482.0,14678.0,99913.0,22213.0,1,2021-03-28,0,0
20000016,157.24,4531.33,4688.57,7326.0,50042.0,40635.0,15899.0,248.0,25057.0,8127.0,1,2020-05-27,0,0
20000017,224.21,4121.53,4345.74,10820.0,73069.0,49628.0,20188.0,10056.0,33572.0,10918.0,1,2021-11-06,0,0
20000018,230.86,4692.28,4923.14,6940.0,134483.0,103709.0,18130.0,3120.0,45784.0,10370.0,1,2019-03-12,0,0
20000019,0.02,214302.22,214302.24,14764.0,60863.0,31539.0,7862.0,8321.0,28864.0,7884.0,1,2021-02-16,0,0
20000020,115.23,3669.69,3784.92,6555.0,62583.0,71191.0,102110.0,40800.0,52702.0,8542.0,1,2020-03-02,0,0
