company_reg_number,cc_agreed_limit,cc_balance_limit_ratio,cc_missed_payments,missed_payments_number
20000707,30921.68760888893,20.256,0.0,0
20000707,30921.68760888893,21.784,0.0,0
20000707,23191.265706666694,17.439,10.0,10
20000817,8303.637079375972,8.0,3.0,3
20000419,10177.017599999914,11.482,0.0,0
20000241,60175.80647426457,21.019,0.0,0
20000241,45131.85485569843,18.26,8.0,8
20000118,13565.210218198445,11.166,0.0,0
20000118,13565.210218198445,8.955,0.0,0
20000196,17429.865975415232,10.45,0.0,0
20000813,37856.62436515436,7.984,0.0,0
20000294,11492.481487323435,10.512,0.0,0
20000811,20056.462052743045,20.173,0.0,1
20000746,12196.449242251196,7.413,-7.0,0
20000746,9147.336931688396,11.374,0.0,0
20000746,9147.336931688396,9.607,0.0,0
20000751,40075.33197852753,22.676,0.0,1
20000751,30056.49898389565,17.734,0.0,0
20000788,75719.92114978458,25.404,8.0,8
20000343,27558.044806989958,21.448,0.0,0
20000649,19488.797700395706,8.428,0.0,1
20000239,22921.712886728128,10.399,0.0,0
20000763,24220.040497411992,11.842,0.0,0
20000448,21796.655210556408,10.113,0.0,0
20000448,16347.491407917309,7.415,-3.0,1
20000050,15203.934915267706,20.275,0.0,1
20000013,29667.78527507183,10.828,-2.0,0
20000997,3831.328932577744,18.181,7.0,7
20000997,5108.438576770324,22.155,0.0,0
20000997,5108.438576770324,18.099,0.0,0
20000016,9051.91521614361,7.096,0.0,1
20000016,9051.91521614361,8.121,0.0,1
20000016,6788.936412107708,8.108,0.0,0
20000934,957.386593177778,19.899,7.0,7
20000934,718.0399448833335,20.696,0.0,1
20000934,957.386593177778,21.167,0.0,0
20000516,10830.474333088903,8.958,0.0,1
20000516,8122.855749816678,10.134,0.0,1
20000516,10830.474333088903,11.255,-3.0,0
20000516,10830.474333088903,11.628,-2.0,1
20000534,8894.235618972678,22.731,0.0,1
20000534,8894.235618972678,18.086,0.0,1
20000534,11858.980825296903,21.351,0.0,0
20000534,11858.980825296903,17.465,0.0,1
20000654,99792.9022607539,26.567,0.0,1
20000999,86468.90786734228,12.71,7.0,7
20000999,64851.680900506704,12.722,-4.0,0
20000361,87290.4207752087,22.83,0.0,0
20000992,70735.76508186596,12.885,0.0,1
20000956,25131.12143686428,7.693,0.0,0
20000956,33508.16191581904,7.521,0.0,1
20000956,33508.16191581904,20.619,0.0,1
20000956,33508.16191581904,10.979,9.0,9
20000952,76373.12722295798,13.011,0.0,1
20000122,33814.65609012317,17.444,0.0,0
20000122,33814.65609012317,17.346,0.0,0
20000122,45086.20812016423,17.649,0.0,0
20000122,45086.20812016423,19.898,0.0,1
20000518,20006.985110639805,22.848,0.0,0
20000518,20006.985110639805,10.325,0.0,0
20000518,20006.985110639805,17.708,0.0,0
20000518,20006.985110639805,10.007,0.0,1
20000121,17081.834275522273,7.659,0.0,1
20000121,17081.834275522273,10.885,0.0,1
20000004,29153.6259147386,11.05,0.0,0
20000004,29153.6259147386,9.088,0.0,0
20000561,40995.46663655349,18.8,0.0,0
20000561,40995.46663655349,20.984,0.0,0
20000561,54660.622182071325,20.361,0.0,1
20000561,54660.622182071325,20.734,0.0,0
20000764,18104.88840687733,10.418,0.0,0
20000764,13578.666305157994,11.162,4.0,4
20000764,13578.666305157994,7.998,0.0,1
20000764,18104.88840687733,7.697,0.0,0
20000648,109002.1485906809,14.334,0.0,1
20000293,24940.54162309553,10.081,0.0,1
20000293,24940.54162309553,10.482,2.0,2
20000912,37824.17395469888,18.152,0.0,1
20000433,39523.713012765525,18.481,0.0,0
20000280,12159.001540777874,8.8,3.0,3
20000280,16212.002054370498,8.958,0.0,1
20000732,31540.290107683533,19.358,0.0,0
20000732,42053.720143578044,18.527,0.0,0
20000099,13143.0791843125,11.481,0.0,0
20000099,13143.0791843125,8.131,0.0,0
20000099,17524.105579083334,9.555,0.0,1
20000099,13143.0791843125,9.868,0.0,0
20000605,32302.632948117272,17.445,0.0,1
20000605,32302.632948117272,17.341,0.0,1
20000605,43070.177264156366,20.424,0.0,1
20000223,56539.13181697694,22.649,5.0,5
20000223,56539.13181697694,11.031,0.0,0
20000223,42404.3488627327,9.174,0.0,0
20000792,62764.2224646463,24.057,0.0,1
20000818,12403.351387637922,22.886,0.0,0
20000818,12403.351387637922,10.618,9.0,9
20000818,12403.351387637922,21.261,0.0,0
20000818,12403.351387637922,9.524,0.0,1
20000621,29333.140830754928,9.397,0.0,1
20000621,29333.140830754928,11.3,-2.0,1
20000621,29333.140830754928,7.88,0.0,1
20000536,75038.63915318968,14.73,6.0,6
20000536,75038.63915318968,12.89,0.0,1
20000007,40602.0454370217,7.415,9.0,9
20000007,30451.53407776627,11.43,6.0,6
20000975,21462.147171717592,19.318,0.0,1
20000975,16096.610378788197,10.775,0.0,0
20000975,21462.147171717592,11.935,4.0,4
20000975,21462.147171717592,18.705,6.0,6
20000547,20467.641201973183,20.617,0.0,1
20000547,20467.641201973183,20.542,0.0,1
20000212,24184.27921649076,11.3,0.0,0
20000212,24184.27921649076,21.856,5.0,5
20000212,18138.20941236807,10.551,0.0,1
20000826,9963.109888456738,9.659,0.0,0
20000826,13284.146517942318,8.565,0.0,0
20000826,13284.146517942318,10.965,-2.0,1
20000964,62564.33549716511,25.954,10.0,10
20000896,96533.10512243326,27.807,0.0,0
20000039,81123.49548954672,23.409,0.0,1
20000876,24128.562721806637,7.675,0.0,0
20000876,32171.416962408843,10.035,0.0,0
20000876,24128.562721806637,8.394,0.0,0
20000876,32171.416962408843,10.823,0.0,0
20000504,23400.28911044945,9.264,0.0,0
