company_reg_number,total_debt,missed_payments_5y,payment_index,failure_score,credit_score,debt_to_revenue_ratio
20000000,7548.0,0,2,63,765,0.0139639172969052
20000001,28100.0,0,21,59,676,0.1214914480397073
20000002,15631.0,0,16,53,663,0.0768977222413538
20000003,0.0,0,2,93,0,0.0
20000004,75605.28,0,17,81,773,0.1931953973644468
20000005,7122.0,3,27,7,486,0.0580851948814562
20000006,6192.0,0,11,0,546,0.0421657621093776
20000007,169233.0,0,12,51,448,0.455785079450579
20000008,31874.0,1,24,77,732,0.1436257457507975
20000009,1079.0,0,17,79,824,0.0359666666666666
20000010,58317.0,0,8,73,654,0.3206820893798837
20000011,46510.0,0,9,95,760,0.2122213197784247
20000012,11051.0,8,62,48,689,0.052085100767302
20000013,104834.0,1,7,24,513,0.3610458668834076
20000014,5787.0,0,13,82,833,0.0466930779347571
20000015,4638.0,6,77,0,541,0.0032206588809772
20000016,80340.2,0,0,73,467,0.510498424156161
20000017,0.0,7,33,52,755,0.0
20000018,15028.0,0,30,34,678,0.0711994655776073
20000019,49918.0,0,10,76,744,0.1389575538927489
20000020,27914.0,0,11,43,650,0.1283549833314174
20000021,0.0,0,6,72,0,0.0
20000022,0.0,0,15,0,494,0.0
20000025,2487.0,2,24,59,0,0.0194681675499228
20000026,49710.0,1,26,57,643,0.2140670149041629
20000027,149999.0,0,11,66,717,0.1353791363114535
20000028,22844.0,0,4,61,720,0.139039190743705
20000029,64020.0,0,18,25,542,0.1803136477321376
20000030,0.0,1,19,70,733,0.0
20000031,24923.0,4,43,50,691,0.1307168631729115
20000032,27548.0,0,8,76,769,0.151689352891943
20000033,18035.0,0,7,38,638,0.1089840043992434
20000034,334342.0,8,46,48,0,0.2442786574909895
20000035,41150.0,9,28,15,463,0.1173257150025803
20000036,11244.0,9,37,24,654,0.0888516610298068
20000037,9371.0,0,6,53,666,0.1201086886863793
20000038,0.0,6,64,0,534,0.0
20000039,126653.0,0,1,83,0,0.3408443805740797
20000040,17856.0,0,19,57,681,0.1047647545456145
20000041,24543.0,0,19,85,0,0.1198324308752947
20000042,27478.0,0,14,71,744,0.1136609942338079
20000043,68028.0,0,14,18,521,0.1601442588372662
20000044,45491.0,0,34,62,719,0.158298941449122
20000046,0.0,0,8,51,730,0.0
20000047,233050.0,0,4,74,728,0.2545267091951801
20000048,0.0,0,17,72,814,0.0
20000049,113698.0,0,5,86,817,0.090174101732769
20000051,68596.0,3,0,90,821,0.0885109677419354
20000052,48402.0,0,11,67,736,0.1249809566845265
20000053,574615.0,0,15,63,623,0.3917323854556957
20000054,14877.0,0,18,13,580,0.0830477062376491
20000055,26175.0,0,10,56,700,0.1593549094097019
20000056,0.0,0,21,44,665,0.0
20000057,0.0,1,22,45,701,0.0
20000058,42686.0,0,21,36,609,0.2097746762660638
20000060,26794.0,0,20,35,643,0.1467408567641872
20000061,5959.0,0,5,56,771,0.0160139957862149
20000063,18382.0,0,31,74,760,0.0915679935441127
20000064,13732.0,7,71,57,699,0.1101079269368314
20000065,116738.1,0,14,89,709,0.2771954694400912
20000066,53337.0,0,21,42,609,0.1875171390601818
20000067,149794.0,0,21,46,603,0.1182880864595778
20000068,38581.0,11,55,29,808,0.19379451683226
20000069,108961.0,0,13,63,0,0.2248756034086007
20000070,7903.0,0,12,80,749,0.0631714413607878
20000072,0.0,2,14,42,703,0.0
20000073,21003.0,0,16,80,746,0.1263459942009456
20000074,149336.0,0,14,75,756,0.137012795176257
20000075,26241.0,3,18,97,0,0.1456166831293075
20000077,245302.61,3,14,75,759,0.1659656962772118
20000078,0.0,0,21,95,807,0.0
20000079,29954.0,1,20,16,398,0.0572265908587236
20000080,24240.0,5,13,51,666,0.1389263014311013
20000081,65946.0,0,12,0,468,0.2616676321908405
20000082,30775.0,5,42,44,637,0.1744565063348544
20000083,15904.0,0,15,80,763,0.1919312600316184
20000084,3956.0,0,21,60,754,0.037814483444215
20000085,7742.0,1,7,67,0,0.0087656728010525
20000086,16791.0,0,15,80,772,0.1073305122665268
20000087,5983.0,0,19,17,515,0.0514613545268445
20000088,177336.0,0,23,82,759,0.1832970017953878
20000089,2074.0,0,16,51,666,0.0175776118517514
20000090,74089.0,1,18,66,764,0.0654230613001783
20000091,31785.0,7,71,17,549,0.2325011520821599
20000092,0.0,2,5,51,691,0.0
20000093,15807.0,0,16,79,0,0.0942862766852173
20000094,35252.0,0,24,10,567,0.2801891666335492
20000095,20751.0,4,69,0,532,0.0997802535979266
20000096,23203.0,0,17,39,592,0.0829887836561847
20000098,10281.0,3,19,26,459,0.1990089235593581
20000099,150841.0,0,16,88,623,0.4699433292728139
20000100,191227.0,0,15,89,763,0.1668663486298734
20000101,906.0,0,25,69,0,0.0302
20000102,6338.0,9,62,0,552,0.0328667956170691
20000103,50800.0,0,11,83,763,0.1770318587648194
20000104,1001268.0,0,9,76,568,0.5204560906692283
20000105,49246.0,0,20,30,486,0.1936569732004168
20000106,628.0,6,65,10,457,0.0209333333333333
20000107,0.0,0,22,94,0,0.0
20000108,3150.0,0,20,88,793,0.0149635886010707
20000109,325498.0,3,13,55,638,0.2682908736033128
20000110,99250.0,0,11,56,637,0.2522550457363178
20000111,18864.0,0,3,44,611,0.156257247937444
20000112,436352.94,1,21,71,595,0.3640940972679984
20000113,1617.0,0,15,77,790,0.0351384240949193
20000114,35909.0,6,48,13,561,0.1062553632194111
20000115,10933.0,3,22,80,830,0.0515967964963448
20000116,0.0,0,18,78,0,0.0
20000117,15477.0,0,18,84,758,0.1793519827566227
20000118,173740.0,1,19,89,496,0.657625296658125
20000119,19802.0,9,55,76,735,0.1560392107419781
20000120,7318.0,0,14,12,426,0.0649582360616739
20000121,115423.19,10,70,0,493,0.3341493063597202
20000122,482767.86,0,8,42,546,0.5065302049758259
20000123,151030.0,0,26,74,752,0.1418095434827515
20000124,21271.0,0,10,80,691,0.1153706385494465
20000125,39308.0,0,9,72,762,0.1353175873619129
20000126,73593.0,0,21,70,691,0.2014767239396826
20000127,10141.0,3,17,50,663,0.0707039720000836
20000128,33355.0,1,9,36,586,0.2890506521079769
20000130,36449.0,3,18,83,750,0.1053271878747598
20000131,1143867.35,0,22,40,562,0.7326312003863413
20000132,69208.0,5,54,0,542,0.0765018382637416
20000134,214352.0,1,18,58,717,0.1580554822287864
20000135,35095.0,0,30,66,672,0.1532358771493193
20000136,30035.0,3,18,40,627,0.0897226022691289
20000137,13986.0,1,17,68,781,0.0158546621957108
20000138,16823.0,0,27,11,490,0.0996428423353254
20000139,197.0,3,5,71,793,0.0017652487925519
20000140,55845.0,2,19,6,572,0.2603739276389407
20000141,6303.0,0,12,42,0,0.0384753905224668
20000142,21766.0,4,42,67,672,0.2567593073184542
20000143,29869.0,4,79,40,650,0.1443588454772169
20000144,12582.0,0,17,63,700,0.0328616426120069
20000146,0.0,0,17,65,763,0.0
20000147,26907.0,6,42,45,670,0.0923091173564606
20000148,8322.0,3,19,43,726,0.0654729123723506
20000149,11927.0,0,23,0,543,0.0568049760911394
20000150,119566.0,0,28,98,800,0.1922072828050952
20000152,11316.0,0,2,79,798,0.0483232481968459
20000153,214681.0,0,6,82,785,0.064717688936908
20000155,41728.0,0,20,82,799,0.0182397233268961
20000156,134717.0,0,15,31,665,0.0803816542927157
20000157,10843.0,0,0,87,0,0.055014358630907
20000158,24385.0,0,13,73,0,0.0662097915009272
20000159,68963.0,0,7,75,689,0.2307983212963768
20000160,24820.0,0,26,55,0,0.0249765027663338
20000161,8804.0,0,11,51,703,0.0477834223437974
20000162,20470.0,1,1,59,720,0.191083397121147
20000163,25254.0,0,0,43,725,0.0684468150846437
20000164,87245.0,0,5,63,705,0.1482959016992539
20000165,8808.0,0,18,93,791,0.0570802739956839
20000167,27894.0,0,28,32,625,0.1888839231300532
20000168,37051.0,0,13,41,654,0.0989686701160079
20000170,39124.0,10,69,0,499,0.1056015460731415
20000171,15184.0,0,10,90,0,0.0506812462032456
20000172,727651.0,0,7,90,0,0.2118101806140318
20000174,45449.0,0,13,10,566,0.1274398467884171
