company_reg_number,loan_amount,loan_outstanding_with_interest,loan_start_date,loan_maturity_date,loan_missed_payments,loan_interest_rate,loan_is_defaulted,month,loan_duration,monthly_repayment
20000000,41000,0,2020-03-28,2021-03-28,0,8.0,0,2020-03,12.166666666666666,0.0
20000017,37400,0,2021-01-23,2024-01-23,0,8.0,1,2021-01,36.5,0.0
20000031,26300,0,2021-01-23,2022-01-23,2,8.0,0,2021-01,12.166666666666666,0.0
20000034,169850,0,2019-12-24,2020-12-24,0,8.0,0,2019-12,12.2,0.0
20000034,201000,169006,2020-07-02,2024-07-02,0,7.0,0,2020-07,48.7,3470.349075975359
20000056,27200,0,2020-10-30,2021-10-30,0,8.0,0,2020-10,12.166666666666666,0.0
20000068,17900,8723,2020-10-09,2022-10-09,3,8.0,0,2020-10,24.333333333333332,358.47945205479454
20000082,4150,0,2021-11-14,2022-11-14,0,8.0,0,2021-11,12.166666666666666,0.0
20000087,16250,0,2021-05-30,2022-05-30,0,8.0,0,2021-05,12.166666666666666,0.0
20000100,136900,0,2021-10-13,2022-10-13,0,8.0,0,2021-10,12.166666666666666,0.0
20000123,147500,0,2019-12-10,2020-12-10,0,8.0,0,2019-12,12.2,0.0
20000141,19550,0,2020-11-05,2021-11-05,0,8.0,0,2020-11,12.166666666666666,0.0
20000150,70750,0,2020-09-17,2021-09-17,0,8.0,1,2020-09,12.166666666666666,0.0
20000150,88300,91566,2021-06-14,2023-06-14,0,17.0,0,2021-06,24.333333333333332,3762.986301369863
20000165,19050,0,2021-05-03,2022-05-03,0,8.0,0,2021-05,12.166666666666666,0.0
20000176,6650,0,2020-11-11,2021-11-11,0,8.0,0,2020-11,12.166666666666666,0.0
20000183,25750,0,2020-01-24,2021-01-24,0,8.0,0,2020-01,12.2,0.0
20000195,19950,0,2021-08-28,2022-08-28,0,8.0,0,2021-08,12.166666666666666,0.0
20000205,43300,0,2020-06-26,2021-06-26,0,8.0,0,2020-06,12.166666666666666,0.0
20000219,33000,0,2021-04-12,2022-04-12,0,8.0,0,2021-04,12.166666666666666,0.0
20000221,76050,0,2021-08-20,2022-08-20,0,8.0,0,2021-08,12.166666666666666,0.0
20000230,31200,0,2021-04-10,2022-04-10,0,8.0,0,2021-04,12.166666666666666,0.0
20000282,128150,0,2020-11-16,2021-11-16,0,8.0,0,2020-11,12.166666666666666,0.0
20000295,72900,63112,2020-09-26,2023-09-26,0,13.0,0,2020-09,36.5,1729.0958904109589
20000300,172800,0,2021-05-19,2023-05-19,0,8.0,1,2021-05,24.333333333333332,0.0
20000311,22150,0,2021-10-05,2022-10-05,0,8.0,0,2021-10,12.166666666666666,0.0
20000313,151600,0,2020-08-14,2021-08-14,0,8.0,0,2020-08,12.166666666666666,0.0
20000314,34700,0,2021-09-11,2022-09-11,0,8.0,0,2021-09,12.166666666666666,0.0
20000315,0,0,2021-04-13,2022-04-13,2,8.0,0,2021-04,12.166666666666666,0.0
20000324,78250,0,2021-10-08,2022-10-08,0,8.0,0,2021-10,12.166666666666666,0.0
20000327,108000,0,2020-10-18,2021-10-18,0,8.0,0,2020-10,12.166666666666666,0.0
20000334,99450,0,2020-08-06,2021-08-06,0,8.0,0,2020-08,12.166666666666666,0.0
20000336,13500,0,2020-08-22,2021-08-22,0,8.0,0,2020-08,12.166666666666666,0.0
20000346,292950,0,2020-11-29,2021-11-29,0,8.0,0,2020-11,12.166666666666666,0.0
20000359,20300,0,2021-11-24,2022-11-24,0,8.0,0,2021-11,12.166666666666666,0.0
20000382,510850,0,2021-10-17,2022-10-17,0,8.0,0,2021-10,12.166666666666666,0.0
20000385,150200,0,2021-06-11,2022-06-11,1,8.0,0,2021-06,12.166666666666666,0.0
20000402,28350,0,2021-07-14,2022-07-14,0,8.0,0,2021-07,12.166666666666666,0.0
20000408,32500,0,2020-01-26,2021-01-26,0,8.0,0,2020-01,12.2,0.0
20000417,277650,0,2021-09-16,2022-09-16,1,8.0,0,2021-09,12.166666666666666,0.0
20000423,45700,0,2020-04-07,2021-04-07,0,8.0,0,2020-04,12.166666666666666,0.0
20000425,31050,0,2020-08-06,2021-08-06,0,8.0,0,2020-08,12.166666666666666,0.0
20000435,35700,0,2021-02-17,2022-02-17,0,8.0,0,2021-02,12.166666666666666,0.0
20000439,15550,0,2020-12-29,2021-12-29,0,8.0,0,2020-12,12.166666666666666,0.0
20000468,30950,27472,2020-07-18,2024-07-18,0,8.0,0,2020-07,48.7,564.1067761806981
20000472,43400,0,2020-12-14,2021-12-14,0,8.0,0,2020-12,12.166666666666666,0.0
20000478,23800,0,2020-10-30,2024-10-30,0,8.0,1,2020-10,48.7,0.0
20000482,18900,23578,2021-09-30,2024-09-30,0,10.0,0,2021-09,36.53333333333333,645.3832116788321
20000494,484700,0,2021-06-23,2022-06-23,0,8.0,0,2021-06,12.166666666666666,0.0
20000520,103950,112798,2021-11-13,2023-11-13,0,6.0,0,2021-11,24.333333333333332,4635.534246575343
20000543,18950,0,2021-01-21,2023-01-21,1,8.0,1,2021-01,24.333333333333332,0.0
20000548,16700,0,2020-12-23,2024-12-23,0,8.0,1,2020-12,48.7,0.0
20000559,34850,0,2021-02-21,2025-02-21,0,8.0,1,2021-02,48.7,0.0
20000571,33700,0,2020-06-26,2021-06-26,0,8.0,0,2020-06,12.166666666666666,0.0
20000594,36600,0,2021-05-25,2022-05-25,2,8.0,0,2021-05,12.166666666666666,0.0
20000618,111300,0,2021-08-20,2022-08-20,1,8.0,0,2021-08,12.166666666666666,0.0
20000641,89900,0,2020-04-30,2021-04-30,0,8.0,0,2020-04,12.166666666666666,0.0
20000657,42450,13264,2020-06-29,2022-06-29,0,6.0,0,2020-06,24.333333333333332,545.095890410959
20000660,11800,0,2020-10-05,2021-10-05,3,8.0,0,2020-10,12.166666666666666,0.0
20000661,329550,0,2021-01-27,2022-01-27,0,8.0,0,2021-01,12.166666666666666,0.0
20000663,42050,0,2020-03-08,2021-03-08,0,8.0,0,2020-03,12.166666666666666,0.0
20000675,40650,0,2021-09-12,2023-09-12,0,8.0,1,2021-09,24.333333333333332,0.0
20000684,33150,40981,2021-10-19,2024-10-19,0,9.0,0,2021-10,36.53333333333333,1121.742700729927
20000702,37700,0,2021-03-15,2023-03-15,0,8.0,1,2021-03,24.333333333333332,0.0
20000709,98300,0,2020-01-04,2021-01-04,0,8.0,0,2020-01,12.2,0.0
20000720,15600,0,2020-05-16,2024-05-16,0,8.0,1,2020-05,48.7,0.0
20000728,66400,59430,2021-01-25,2024-01-25,0,8.0,0,2021-01,36.5,1628.2191780821918
20000747,201450,209034,2021-11-22,2023-11-22,0,3.0,0,2021-11,24.333333333333332,8590.438356164384
20000756,36400,0,2021-11-21,2022-11-21,0,8.0,0,2021-11,12.166666666666666,0.0
20000779,13850,0,2020-06-28,2021-06-28,3,8.0,0,2020-06,12.166666666666666,0.0
20000793,23300,19926,2020-09-18,2023-09-18,0,13.0,0,2020-09,36.5,545.917808219178
20000821,44200,17813,2020-09-06,2022-09-06,0,4.0,0,2020-09,24.333333333333332,732.041095890411
20000834,9750,0,2020-02-26,2021-02-26,0,8.0,0,2020-02,12.2,0.0
20000837,31000,0,2020-07-13,2023-07-13,0,8.0,1,2020-07,36.5,0.0
20000839,10100,0,2020-01-07,2021-01-07,0,8.0,0,2020-01,12.2,0.0
20000863,21600,12673,2020-05-02,2023-05-02,0,8.0,0,2020-05,36.5,347.2054794520548
20000864,20800,0,2021-05-20,2022-05-20,0,8.0,0,2021-05,12.166666666666666,0.0
20000872,69200,101717,2021-11-29,2024-11-29,0,14.0,0,2021-11,36.53333333333333,2784.224452554745
20000875,24650,15178,2020-04-15,2023-04-15,0,11.0,0,2020-04,36.5,415.83561643835617
20000877,39750,28530,2021-02-22,2023-02-22,0,9.0,0,2021-02,24.333333333333332,1172.4657534246576
20000894,115050,0,2021-02-16,2022-02-16,0,8.0,0,2021-02,12.166666666666666,0.0
20000898,186750,0,2020-02-26,2021-02-26,0,8.0,0,2020-02,12.2,0.0
20000919,28250,0,2020-02-25,2021-02-25,0,8.0,0,2020-02,12.2,0.0
20000929,22100,0,2020-09-15,2021-09-15,0,8.0,0,2020-09,12.166666666666666,0.0
20000936,28800,0,2020-05-30,2021-05-30,0,8.0,0,2020-05,12.166666666666666,0.0
20000947,30350,0,2021-05-12,2022-05-12,0,8.0,0,2021-05,12.166666666666666,0.0
20000953,40250,45918,2021-07-20,2025-07-20,0,6.0,0,2021-07,48.7,942.8747433264887
20000970,22800,0,2021-10-31,2022-10-31,0,8.0,0,2021-10,12.166666666666666,0.0
20000984,32450,0,2021-06-03,2022-06-03,0,8.0,0,2021-06,12.166666666666666,0.0
20000984,24650,0,2020-02-20,2023-02-20,3,8.0,1,2020-02,36.53333333333333,0.0
